id,project,status,target_completion_date,highway_transit_line,estimated_total_budget,latitude,longitude,category,supporting_ministry,community,description,result,area,region,address,postal_code,municipal_funding,provincial_funding,federal_funding,other_funding,website
78,Water Supply and Feasibility Study,Complete,2019-12-01,,56250,,,Communities,Infrastructure,Animbiigoo Zaagi’igan Anishinaabek (Lake Nipigon Ojibway) First Nation,Conduct a water supply/water treatability study to determine the best solution for developing an effective and reliable water supply.,An effective and reliable water supply.,Thunder Bay,Northwest,,,,Yes,Yes,Yes,
79,Equipment Upgrades at Water Treatment Plant,Complete,2022-06-01,,42753,49.097745,-94.315207,Communities,Infrastructure,Anishinaabeg of Naongashiing First Nation,"Install new pumps,  in-line chlorine analyzer and turbidity analyzer, and replace Greensand media with Greensand Plus media.",More secure drinking water and reduced used of chemicals.,Rainy River,Northwest,,P0W 1J0,,Yes,Yes,Yes,
80,Equipment Upgrades at Wastewater Treatment Plant,Complete,2022-06-01,,17625,49.097745,-94.315207,Communities,Infrastructure,Anishinaabeg of Naongashiing First Nation,"Replace transfer pump, leaking valves and pipes, install pressure washer and gas detection equipment.",Improved protection to Lake of the Woods from sewage spills.,Rainy River,Northwest,,P0W 1J0,,Yes,Yes,Yes,
81,Councillors' Houses and Meeting Grounds Water treatment Plant Equipment Upgrades,Complete,2022-06-01,,24000,49.097745,-94.315207,Communities,Infrastructure,Anishinaabeg of Naongashiing First Nation,"Replace well pump, install chlorine analyzer and alarm, and replace pressure tank.",Safer and more secure water supply.,Rainy River,Northwest,,P0W 1J0,,Yes,Yes,Yes,
82,Equipment Upgrades at Sewage Pumping Station,Complete,2022-06-01,,2250,49.097745,-94.315207,Communities,Infrastructure,Anishinaabeg of Naongashiing First Nation,Install bollards to protect electrical panel.,Reduced risk of pump failure due to traffic damage to panel and thus sewage from overflowing at station.,Rainy River,Northwest,,P0W 1J0,,Yes,Yes,Yes,
83,Anishinaabeg of Naongashiing Sewage Lagoon,Planning,2023-01-01,,0,49.118469,-94.313364,Communities,Infrastructure,Anishinaabeg of Naongashiing First Nation,"The Project will construct a new sewage lagoon with clay liner to replace the existing wastewater treatment plant in the Anishinaabeg of Naongashiing First Nation.The work will include clearing and preparing an undeveloped site for the lagoon, excavating trenches for collection pipes, building an access road, constructing the lagoon and its required components including flow meters/analyzer and outfalls, installing new gravity sewers and force mains, and upgrading  the existing lift station. The existing wastewater treatment plant will also be decommissioned and deconstructed.",,Rainy River,Northwest,General Delivery,P0W1J0,Yes,Yes,Yes,,
84,Infiltration Study of Stormwater Entering the Wastewater system,Complete,2020-03-01,,18750,49.753298,-94.475816,Communities,Infrastructure,Anishinabe of Wauzhushk Onigum First Nation,Conduct an engineering study determine the infiltration locations of stormwater into the wastewater system and indicate the required repairs.,Improved efficiency of the facility and reduced chances of an overflow situation of wastewater into the receiving environment.,Kenora,Northwest,,,,Yes,Yes,Yes,
85,Devils Gap Lift Station Backup Generator,Complete,2020-03-01,,37500,49.753298,-94.475816,Communities,Infrastructure,Anishinabe of Wauzhushk Onigum First Nation,Purchase a backup generator for the lift station located near the Devils Gap Marina.,Ensure wastewater does not enter the environment and negatively impact surrounding communities.,Kenora,Northwest,,,,Yes,Yes,Yes,
86,Upgrading of Perimeter Safety and Security Fencing to Wastewater Lagoon,Complete,2017-10-01,,61667,47.711149,-79.885225,Communities,Infrastructure,Armstrong,Install a 6-feet high chain link fence complete with gates.,More secure facility.,Timiskaming,Northeast,126901 Church Road,P0J 1E0,Yes,Yes,Yes,,
87,Rehabilitation of Well # 3,Complete,2017-10-01,,13856,47.707251,-79.820288,Communities,Infrastructure,Armstrong,Replace the casing and pump at well #3.,,Timiskaming,Northeast,6 th Street,P0J 1E0,Yes,Yes,Yes,,
88,Replacement of Roofing on Church Road Pumping Station Building,Complete,2017-10-01,,9627,47.711149,-79.885225,Communities,Infrastructure,Armstrong,Replace the asphalt shingles with a steel roof.,,Timiskaming,Northeast,126901 Church Road,P0J 1E0,Yes,Yes,Yes,,
89,Earlton water treatment plant,Complete,2019-03-01,,23963,47.712832,-79.81999,Communities,Infrastructure,Armstrong,Remove and dispose all existing filter media and air grid laterals at the Earlton water treatment plant,,Timiskaming,Northeast,"89 12th Street, Earlton ON",,Yes,Yes,Yes,,
90,Daniel Street watermain replacement,Complete,2017-11-01,,783795,45.42907,-76.358715,Communities,Infrastructure,Arnprior,Replace and upsizing the Daniel Street watermain - Michael Street to Havey Street.,Increased capacity and lifespan of the asset.,Renfrew,East,,,Yes,Yes,Yes,,
91,Replacement of the 400mm Madawaska River Water main,Planning,2024-01-01,,0,45.426952,-76.35253,Communities,Infrastructure,Arnprior,"The Project is for the replacement of a water main crossing the Madawaska River in Arnprior. The work will involve replacing the 400mm diameter water main, spanning from the water treatment plant to the elevated water storage tower, with the possibility of relocating the water main as well.",,Renfrew,East,105 Elgin Street/Rue West/Ouest,K7S0A8,Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000459/canada-and-ontario-invest-over-29-million-in-19-green-infrastructure-projects
92,Aroland First Nation Sewage Lagoons Remediation,Complete,2022-08-01,,49125,50.166667,-86.7,Communities,Infrastructure,Aroland First Nation,Remediate the existing lagoons to deal with issues of new vegetation and remove the solid materials that are filling the lagoon to capacity.,Limit untreated wastewater entering the environment and negatively impacting surrounding communities.,Thunder Bay,Northwest,,P0T 2H0,,Yes,Yes,Yes,
93,"Upgrade to Watermain, Sanitary and Storm Sewer and Road Restoration",Complete,2017-09-01,,261461,44.2958,-81.0934,Communities,Infrastructure,Arran-Elderslie,"Replace undersized aged cast iron watermain, sanitary and storm sewers and sanitary services. Road restoration will include repaving and new sidewalk, curb and gutter.",Better water services to 26 households and institutions.,Bruce,Southwest,2nd Ave SE(5th st SE to 7th St SE) and two adjacent smaller road blocks,,Yes,Yes,Yes,,
94,Investigate and implement a rehabilitation or treatment strategy for arsenic in the Dungannon Wells,Complete,2018-03-01,,75000,43.8537,-81.5978,Communities,Infrastructure,Ashfield-Colborne-Wawanosh,"Rehabilitate the Dungannon water wells, which may include the installation of treatment facilities.",Lower levels of arsenic in the water.,Huron,Southwest,37103 Albert Street,N0M 1R0,Yes,Yes,Yes,,
95,"Dungannon Drinking Water System Arsenic Treatment, Reservoir and Pump Station",Under construction,2023-01-01,,0,43.852382,-81.595209,Communities,Infrastructure,Ashfield-Colborne-Wawanosh,"The project will rehabilitate a water treatment facility in Dungannon.  The project will involve the construction of a new reservoir and a new pumphouse to accommodate the installation of new high-lift pumps to pump water from the new reservoir to the distribution system.  To connect the reservoir to the system, new piping will be installed downstream of the chlorine contact main.  The project will also include the relocation of the existing pressure tanks to the new pumphouse building, removal of the iron sequestering chemical feed system from the existing treatment building, and installation of new cartridge filter trains (in the existing treatment building) to remove arsenic. New variable frequency drives (VFDs), harmonic filters, as well as the associated electrical equipment and wiring will be installed. The existing MCC system will be improved by removing abandoned components (i.e. Well 1 starters) and reprogramming.  Depending on the additional electrical loads, a new power service feed and generator may also be required pending verification during the design phase.",,Huron,Southwest,82133 Council Line,N7A3Y2,Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000459/canada-and-ontario-invest-over-29-million-in-19-green-infrastructure-projects
96,Norwood Water Treatment Plant Upgrades,Complete,2018-03-01,,677432,44.382838,-77.980674,Communities,Infrastructure,Asphodel-Norwood,"Includes installation of a water-softening system, various instrumentation and equipment",Improved safety of drinking water and reduced risk of flooding and mold,Peterborough,East,12 County Road 40,K0L 2V0,Yes,Yes,Yes,,
97,Robert Road and Murray Street Watermain Improvements,Complete,2016-12-01,,1522820,44.38057,-77.985049,Communities,Infrastructure,Asphodel-Norwood,"Replacement and upgrade to water and storm sewer mains as well as upgrades roadway, including gutters and sidewalks and installation of fire hydrants","Reduced risk of collapse or failure, decrease in flooding or washouts",Peterborough,East,Robert Rd. & Murray St.,K0L 2V0,Yes,Yes,,,
98,Rehabilitation of Well #1 in village of Norwood,Complete,2020-03-01,,63501,44.3827,-77.9809,Communities,Infrastructure,Asphodel-Norwood,Rehabilitate well #1 in the Village of Norwood.,,Peterborough,East,,,Yes,Yes,Yes,,
99,Drilling of Well #4 the village of Norwood,Complete,2020-03-01,,76988,44.3832,-77.9819,Communities,Infrastructure,Asphodel-Norwood,Drilling a new raw water source for the Village of Norwood to increase capacity and reliability,,Peterborough,East,,,Yes,Yes,Yes,,
100,Flora Street Reconstruction,Complete,2017-10-01,,720800,44.3801,-77.9765,Communities,Infrastructure,Asphodel-Norwood,"Replacement of the watermain, sanitary and storm sewers, and reconstruction of Flora Street.",Safer drinking water,Peterborough,East,Flora St,,Yes,Yes,,,
101,Water and Wastewater Rehabilitation,Complete,2019-03-01,,88163,45.861,-81.8516,Communities,Infrastructure,Assiginack,"Various upgrades, repairs and installation of equipment at the Manitowaning water treatment plant.",Improved water services.,Manitoulin,Northeast,2 Bay street,P0P 1N0,Yes,Yes,Yes,,
102,Atikameksheng Anishnawbek Septic & Watermain Upgrade,Planning,2021-01-01,,0,46.398007,-81.17725,Communities,Infrastructure,Atikameksheng Anishnawbek First Nation,The project is for the improvement of septic systems and water distribution in the Atikameksheng Anishnawbek First Nation. The work will replace approximately 300 meters of watermain (including necessary connections and service line to residences and commissioning); and approximately 35 septic systems. The work also includes the addition of a fire hydrant and re-pavement of half the roadway along Maani Street impacted by watermain work.,,,Northeast,25 Reserve Road,P0M2M0,Yes,Yes,Yes,,
103,Atikokan Sewage Treatment Plant Rehabilitation,Complete,2020-12-01,,2888488,48.75622,-91.632316,Communities,Infrastructure,Atikokan,Updating sewage treatment plant,"Plant to have new processing equipment, SCADA control system, roof and other architectural replacements",Rainy River,Northwest,601 Mackenzie Ave W,P0T 1C0,Yes,Yes,Yes,,
104,Sewage Pump Station 7 Rehabilitation,Complete,2019-10-01,,1525500,48.75556,-91.62217,Communities,Infrastructure,Atikokan,Capacity upgrades to Sewage Pump Station #7.,Minimized risk of contamination,Rainy River,Northwest,132 West St,P0T 1C0,Yes,Yes,,,
105,Atikokan Sewage Works Rehabilitation,Complete,2021-12-01,,0,48.75563,-91.632807,Communities,Infrastructure,Atikokan,The Project will rehabilitate five (5) sewage pumping stations in Atikokan. The work will replace motorized valves and new flow meters at five (5) pumping stations as well as update mechanical and electrical systems along with control programming to improve monitoring and operations.,"Improved efficiency and capacity of wastewater treatment in the Town of Atikokan, and better to protection of  the Atikokan River.",Rainy River,Northwest,120 Marks Street,P0T1C0,Yes,Yes,Yes,,
